AMZN;Amazon;/stocks/charts/AMZN/amazon/stock-price-history
MSFT;Microsoft;/stocks/charts/MSFT/microsoft/stock-price-history
GOOG;Alphabet;/stocks/charts/GOOG/alphabet/stock-price-history
GOOGL;Alphabet;/stocks/charts/GOOGL/alphabet/stock-price-history
AAPL;Apple;/stocks/charts/AAPL/apple/stock-price-history
TSLA;Tesla;/stocks/charts/TSLA/tesla/stock-price-history
FB;Facebook;/stocks/charts/FB/facebook/stock-price-history
BABA;Alibaba;/stocks/charts/BABA/alibaba/stock-price-history
TSM;Taiwan Semiconductor Manufacturing;/stocks/charts/TSM/taiwan-semiconductor-manufacturing/stock-price-history
BRK.A;Berkshire Hathaway;/stocks/charts/BRK.A/berkshire-hathaway/stock-price-history
BRK.B;Berkshire Hathaway;/stocks/charts/BRK.B/berkshire-hathaway/stock-price-history
JNJ;Johnson & Johnson;/stocks/charts/JNJ/johnson-johnson/stock-price-history
V;Visa;/stocks/charts/V/visa/stock-price-history
WMT;Walmart;/stocks/charts/WMT/walmart/stock-price-history
JPM;JPMorgan Chase;/stocks/charts/JPM/jpmorgan-chase/stock-price-history
MA;Mastercard;/stocks/charts/MA/mastercard/stock-price-history
UNH;UnitedHealth Group;/stocks/charts/UNH/unitedhealth-group/stock-price-history
PG;Procter & Gamble;/stocks/charts/PG/procter-gamble/stock-price-history
NVDA;NVIDIA;/stocks/charts/NVDA/nvidia/stock-price-history
DIS;Disney;/stocks/charts/DIS/disney/stock-price-history
HD;Home Depot;/stocks/charts/HD/home-depot/stock-price-history
PYPL;PayPal Holdings;/stocks/charts/PYPL/paypal-holdings/stock-price-history
BAC;Bank Of America;/stocks/charts/BAC/bank-of-america/stock-price-history
VZ;Verizon;/stocks/charts/VZ/verizon/stock-price-history
CMCSA;Comcast;/stocks/charts/CMCSA/comcast/stock-price-history
ADBE;Adobe;/stocks/charts/ADBE/adobe/stock-price-history
NKE;NIKE;/stocks/charts/NKE/nike/stock-price-history
NFLX;Netflix;/stocks/charts/NFLX/netflix/stock-price-history
KO;CocaCola;/stocks/charts/KO/cocacola/stock-price-history
NVS;Novartis AG;/stocks/charts/NVS/novartis-ag/stock-price-history
TM;Toyota;/stocks/charts/TM/toyota/stock-price-history
ASML;ASML Holding;/stocks/charts/ASML/asml-holding/stock-price-history
INTC;Intel;/stocks/charts/INTC/intel/stock-price-history
MRK;Merck;/stocks/charts/MRK/merck/stock-price-history
T;AT&T;/stocks/charts/T/at-t/stock-price-history
PFE;Pfizer;/stocks/charts/PFE/pfizer/stock-price-history
CRM;Salesforce, Inc;/stocks/charts/CRM/salesforce,-inc/stock-price-history
TMO;Thermo Fisher Scientific;/stocks/charts/TMO/thermo-fisher-scientific/stock-price-history
PEP;PepsiCo;/stocks/charts/PEP/pepsico/stock-price-history
ABT;Abbott Laboratories;/stocks/charts/ABT/abbott-laboratories/stock-price-history
XOM;Exxon;/stocks/charts/XOM/exxon/stock-price-history
CSCO;Cisco;/stocks/charts/CSCO/cisco/stock-price-history
ABBV;AbbVie;/stocks/charts/ABBV/abbvie/stock-price-history
ORCL;Oracle;/stocks/charts/ORCL/oracle/stock-price-history
AVGO;Broadcom;/stocks/charts/AVGO/broadcom/stock-price-history
QCOM;QUALCOMM;/stocks/charts/QCOM/qualcomm/stock-price-history
ACN;Accenture;/stocks/charts/ACN/accenture/stock-price-history
DHR;Danaher;/stocks/charts/DHR/danaher/stock-price-history
CVX;Chevron;/stocks/charts/CVX/chevron/stock-price-history
TMUS;T-Mobile US;/stocks/charts/TMUS/t-mobile-us/stock-price-history
NVO;Novo Nordisk;/stocks/charts/NVO/novo-nordisk/stock-price-history
COST;Costco;/stocks/charts/COST/costco/stock-price-history
MDT;Medtronic;/stocks/charts/MDT/medtronic/stock-price-history
MCD;McDonald's;/stocks/charts/MCD/mcdonalds/stock-price-history
LLY;Eli Lilly;/stocks/charts/LLY/eli-lilly/stock-price-history
NEE;NextEra Energy;/stocks/charts/NEE/nextera-energy/stock-price-history
TXN;Texas Instruments;/stocks/charts/TXN/texas-instruments/stock-price-history
RDS.A;Royal Dutch Shell;/stocks/charts/RDS.A/royal-dutch-shell/stock-price-history
RDS.B;Royal Dutch Shell;/stocks/charts/RDS.B/royal-dutch-shell/stock-price-history
UNP;Union Pacific;/stocks/charts/UNP/union-pacific/stock-price-history
HON;Honeywell;/stocks/charts/HON/honeywell/stock-price-history
SHOP;Shopify;/stocks/charts/SHOP/shopify/stock-price-history
BUD;Anheuser-Busch;/stocks/charts/BUD/anheuser-busch/stock-price-history
LIN;Linde;/stocks/charts/LIN/linde/stock-price-history
BMY;Bristol Myers Squibb;/stocks/charts/BMY/bristol-myers-squibb/stock-price-history
AMGN;Amgen;/stocks/charts/AMGN/amgen/stock-price-history
WFC;Wells Fargo;/stocks/charts/WFC/wells-fargo/stock-price-history
UPS;UPS;/stocks/charts/UPS/ups/stock-price-history
MS;Morgan Stanley;/stocks/charts/MS/morgan-stanley/stock-price-history
C;Citigroup;/stocks/charts/C/citigroup/stock-price-history
JD;JD;/stocks/charts/JD/jd/stock-price-history
AZN;AstraZeneca;/stocks/charts/AZN/astrazeneca/stock-price-history
HDB;HDFC Bank;/stocks/charts/HDB/hdfc-bank/stock-price-history
PM;Philip Morris;/stocks/charts/PM/philip-morris/stock-price-history
SNE;Sony;/stocks/charts/SNE/sony/stock-price-history
CHTR;Charter Communications;/stocks/charts/CHTR/charter-communications/stock-price-history
SBUX;Starbucks;/stocks/charts/SBUX/starbucks/stock-price-history
TOT;TOTAL SE;/stocks/charts/TOT/total-se/stock-price-history
SNY;Sanofi;/stocks/charts/SNY/sanofi/stock-price-history
RY;Royal Bank Of Canada;/stocks/charts/RY/royal-bank-of-canada/stock-price-history
LOW;Lowe's;/stocks/charts/LOW/lowes/stock-price-history
BA;Boeing;/stocks/charts/BA/boeing/stock-price-history
BLK;BlackRock;/stocks/charts/BLK/blackrock/stock-price-history
IBM;IBM;/stocks/charts/IBM/ibm/stock-price-history
AMD;AMD;/stocks/charts/AMD/amd/stock-price-history
HSBC;HSBC;/stocks/charts/HSBC/hsbc/stock-price-history
CHL;China Mobile (Hong Kong);/stocks/charts/CHL/china-mobile-hong-kong/stock-price-history
SCHW;Charles Schwab;/stocks/charts/SCHW/charles-schwab/stock-price-history
SQ;Square;/stocks/charts/SQ/square/stock-price-history
RIO;Rio Tinto;/stocks/charts/RIO/rio-tinto/stock-price-history
RTX;Raytheon Technologies;/stocks/charts/RTX/raytheon-technologies/stock-price-history
TD;Toronto Dominion Bank;/stocks/charts/TD/toronto-dominion-bank/stock-price-history
CAT;Caterpillar;/stocks/charts/CAT/caterpillar/stock-price-history
NOW;ServiceNow;/stocks/charts/NOW/servicenow/stock-price-history
ZM;Zoom Video Communications;/stocks/charts/ZM/zoom-video-communications/stock-price-history
GS;Goldman Sachs;/stocks/charts/GS/goldman-sachs/stock-price-history
GE;General Electric;/stocks/charts/GE/general-electric/stock-price-history
AMT;American Tower;/stocks/charts/AMT/american-tower/stock-price-history
INTU;Intuit;/stocks/charts/INTU/intuit/stock-price-history
AXP;American Express;/stocks/charts/AXP/american-express/stock-price-history
CVS;CVS Health;/stocks/charts/CVS/cvs-health/stock-price-history
VALE;VALE S.A;/stocks/charts/VALE/vale-sa/stock-price-history
TGT;Target;/stocks/charts/TGT/target/stock-price-history
DEO;Diageo;/stocks/charts/DEO/diageo/stock-price-history
ISRG;Intuitive Surgical;/stocks/charts/ISRG/intuitive-surgical/stock-price-history
GSK;GlaxoSmithKline;/stocks/charts/GSK/glaxosmithkline/stock-price-history
MMM;3M;/stocks/charts/MMM/3m/stock-price-history
EL;Estee Lauder;/stocks/charts/EL/estee-lauder/stock-price-history
LMT;Lockheed Martin;/stocks/charts/LMT/lockheed-martin/stock-price-history
UBER;Uber Technologies;/stocks/charts/UBER/uber-technologies/stock-price-history
BKNG;Booking Holdings;/stocks/charts/BKNG/booking-holdings/stock-price-history
DE;Deere;/stocks/charts/DE/deere/stock-price-history
SYK;Stryker;/stocks/charts/SYK/stryker/stock-price-history
ABNB;Airbnb;/stocks/charts/ABNB/airbnb/stock-price-history
BTI;British American Tobacco;/stocks/charts/BTI/british-american-tobacco/stock-price-history
AMAT;Applied Materials;/stocks/charts/AMAT/applied-materials/stock-price-history
MU;Micron Technology;/stocks/charts/MU/micron-technology/stock-price-history
FIS;Fidelity National Information Services;/stocks/charts/FIS/fidelity-national-information-services/stock-price-history
MELI;MercadoLibre;/stocks/charts/MELI/mercadolibre/stock-price-history
SNOW;Snowflake;/stocks/charts/SNOW/snowflake/stock-price-history
CVS;CVS Health;/stocks/charts/CVS/cvs-health/stock-price-history
VALE;VALE S.A;/stocks/charts/VALE/vale-sa/stock-price-history
TGT;Target;/stocks/charts/TGT/target/stock-price-history
DEO;Diageo;/stocks/charts/DEO/diageo/stock-price-history
ISRG;Intuitive Surgical;/stocks/charts/ISRG/intuitive-surgical/stock-price-history
GSK;GlaxoSmithKline;/stocks/charts/GSK/glaxosmithkline/stock-price-history
MMM;3M;/stocks/charts/MMM/3m/stock-price-history
EL;Estee Lauder;/stocks/charts/EL/estee-lauder/stock-price-history
LMT;Lockheed Martin;/stocks/charts/LMT/lockheed-martin/stock-price-history
UBER;Uber Technologies;/stocks/charts/UBER/uber-technologies/stock-price-history
BKNG;Booking Holdings;/stocks/charts/BKNG/booking-holdings/stock-price-history
DE;Deere;/stocks/charts/DE/deere/stock-price-history
SYK;Stryker;/stocks/charts/SYK/stryker/stock-price-history
ABNB;Airbnb;/stocks/charts/ABNB/airbnb/stock-price-history
BTI;British American Tobacco;/stocks/charts/BTI/british-american-tobacco/stock-price-history
AMAT;Applied Materials;/stocks/charts/AMAT/applied-materials/stock-price-history
MU;Micron Technology;/stocks/charts/MU/micron-technology/stock-price-history
FIS;Fidelity National Information Services;/stocks/charts/FIS/fidelity-national-information-services/stock-price-history
MELI;MercadoLibre;/stocks/charts/MELI/mercadolibre/stock-price-history
SNOW;Snowflake;/stocks/charts/SNOW/snowflake/stock-price-history
TJX;TJX;/stocks/charts/TJX/tjx/stock-price-history
ANTM;Anthem;/stocks/charts/ANTM/anthem/stock-price-history
MDLZ;Mondelez;/stocks/charts/MDLZ/mondelez/stock-price-history
BIDU;Baidu;/stocks/charts/BIDU/baidu/stock-price-history
CNI;Canadian National Railway;/stocks/charts/CNI/canadian-national-railway/stock-price-history
BP;BP;/stocks/charts/BP/bp/stock-price-history
ZTS;Zoetis;/stocks/charts/ZTS/zoetis/stock-price-history
CI;Cigna;/stocks/charts/CI/cigna/stock-price-history
GILD;Gilead Sciences;/stocks/charts/GILD/gilead-sciences/stock-price-history
INFY;Infosys;/stocks/charts/INFY/infosys/stock-price-history
SPGI;S&P Global;/stocks/charts/SPGI/s-p-global/stock-price-history
SNAP;Snap;/stocks/charts/SNAP/snap/stock-price-history
FISV;Fiserv;/stocks/charts/FISV/fiserv/stock-price-history
MO;Altria;/stocks/charts/MO/altria/stock-price-history
PBR;Petroleo Brasileiro S.A.- Petrobras;/stocks/charts/PBR/petroleo-brasileiro-sa--petrobras/stock-price-history
PBR.A;Petroleo Brasileiro S.A.- Petrobras;/stocks/charts/PBR.A/petroleo-brasileiro-sa--petrobras/stock-price-history
USB;U.S Bancorp;/stocks/charts/USB/us-bancorp/stock-price-history
BDX;Becton Dickinson;/stocks/charts/BDX/becton-dickinson/stock-price-history
ADP;ADP;/stocks/charts/ADP/adp/stock-price-history
CSX;CSX;/stocks/charts/CSX/csx/stock-price-history
LRCX;Lam Research;/stocks/charts/LRCX/lam-research/stock-price-history
CME;CME Group;/stocks/charts/CME/cme-group/stock-price-history
PLD;Prologis;/stocks/charts/PLD/prologis/stock-price-history
CL;Colgate-Palmolive;/stocks/charts/CL/colgate-palmolive/stock-price-history
ATVI;Activision Blizzard;/stocks/charts/ATVI/activision-blizzard/stock-price-history
ADSK;Autodesk;/stocks/charts/ADSK/autodesk/stock-price-history
CB;Chubb;/stocks/charts/CB/chubb/stock-price-history
NSC;Norfolk Southern;/stocks/charts/NSC/norfolk-southern/stock-price-history
TFC;Truist Financial;/stocks/charts/TFC/truist-financial/stock-price-history
ENB;Enbridge Inc;/stocks/charts/ENB/enbridge-inc/stock-price-history
PNC;PNC Financial Services;/stocks/charts/PNC/pnc-financial-services/stock-price-history
CCI;Crown Castle;/stocks/charts/CCI/crown-castle/stock-price-history
DUK;Duke Energy;/stocks/charts/DUK/duke-energy/stock-price-history
SHW;Sherwin-Williams;/stocks/charts/SHW/sherwin-williams/stock-price-history
ITW;Illinois Tool Works;/stocks/charts/ITW/illinois-tool-works/stock-price-history
ICE;Intercontinental Exchange;/stocks/charts/ICE/intercontinental-exchange/stock-price-history
ABB;ABB;/stocks/charts/ABB/abb/stock-price-history
SO;Southern;/stocks/charts/SO/southern/stock-price-history
FDX;FedEx;/stocks/charts/FDX/fedex/stock-price-history
BNS;Bank Of Nova Scotia;/stocks/charts/BNS/bank-of-nova-scotia/stock-price-history
ECL;Ecolab;/stocks/charts/ECL/ecolab/stock-price-history
SPOT;Spotify Technology SA;/stocks/charts/SPOT/spotify-technology-sa/stock-price-history
APD;Air Products And Chemicals;/stocks/charts/APD/air-products-and-chemicals/stock-price-history
LFC;China Life Insurance;/stocks/charts/LFC/china-life-insurance/stock-price-history
BAM;Brookfield Asset Management Inc;/stocks/charts/BAM/brookfield-asset-management-inc/stock-price-history
EQNR;Equinor;/stocks/charts/EQNR/equinor/stock-price-history
GPN;Global Payments;/stocks/charts/GPN/global-payments/stock-price-history
EQIX;Equinix;/stocks/charts/EQIX/equinix/stock-price-history
GM;General Motors;/stocks/charts/GM/general-motors/stock-price-history
VRTX;Vertex Pharmaceuticals;/stocks/charts/VRTX/vertex-pharmaceuticals/stock-price-history
MUFG;Mitsubishi UFJ Financial;/stocks/charts/MUFG/mitsubishi-ufj-financial/stock-price-history
DD;DuPont De Nemours;/stocks/charts/DD/dupont-de-nemours/stock-price-history
VMW;VMware;/stocks/charts/VMW/vmware/stock-price-history
D;Dominion Energy;/stocks/charts/D/dominion-energy/stock-price-history
ITUB;Itau Unibanco Holding S.A;/stocks/charts/ITUB/itau-unibanco-holding-sa/stock-price-history
SAN;Banco Santander, S.A;/stocks/charts/SAN/banco-santander,-sa/stock-price-history
SNP;China Petroleum & Chemical;/stocks/charts/SNP/china-petroleum-chemical/stock-price-history
HCA;HCA Healthcare;/stocks/charts/HCA/hca-healthcare/stock-price-history
ADI;Analog Devices;/stocks/charts/ADI/analog-devices/stock-price-history
DELL;Dell;/stocks/charts/DELL/dell/stock-price-history
